Time,YoY_Growth
2013.25,22.94617563739376
2013.5,5.32687651331718
2013.75,-11.942257217847773
2014.0,17.037037037037027
2014.25,14.170506912442393
2014.5,46.09195402298851
2014.75,44.858420268256324
2015.0,58.48101265822785
2015.25,30.221997981836534
2015.5,-7.238394964594807
2015.75,13.888888888888884
2016.0,-21.605431309904155
2016.25,-13.211933359163119
2016.5,29.686174724342674
2016.75,34.46251129177958
2017.0,43.25012735608762
2017.25,-2.0535714285714324
2017.5,-2.648790058862005
2017.75,22.841787033926764
2018.0,9.210526315789469
2018.25,10.711030082041928
2018.5,-2.452133019818614
2018.75,-5.468963631391855
2019.0,-35.03744708563986
2019.25,-11.486208316179503
2019.5,11.707988980716255
2019.75,28.55076656060167
2020.0,94.68671679197995
2020.25,88.27906976744187
2020.5,44.32799013563502
2020.75,25.450045004500453
2021.0,28.038105046343986
2021.25,18.824110671936765
2021.5,19.820589491670226
2021.75,6.923766816143506
2022.0,45.54594811984718
2022.25,67.54677754677753
2022.5,64.70588235294117
2022.75,30.41436000671027
2023.0,-5.913235700469743
2023.25,-26.45489514828142
2023.5,-27.835497835497836
2023.75,8.20684332390018
2024.0,5.286343612334798
2024.25,29.205331533659518
2024.5,51.214757048590286
